[0127].[12488].[11368].[2021.04.05.01.22.04.697610].SRV1.INF:Main.py.on_data_ready.47:Cx=94 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0128].[12488].[11368].[2021.04.05.01.22.04.704614].SRV1.INF:Main.py.on_data_ready.47:Cx=95 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0129].[12488].[11368].[2021.04.05.01.22.04.712620].SRV1.INF:Main.py.on_data_ready.47:Cx=96 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0130].[12488].[11368].[2021.04.05.01.22.04.720625].SRV1.INF:Main.py.on_data_ready.47:Cx=97 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0131].[12488].[11368].[2021.04.05.01.22.04.728630].SRV1.INF:Main.py.on_data_ready.47:Cx=98 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0132].[12488].[11368].[2021.04.05.01.22.04.736636].SRV1.INF:Main.py.on_data_ready.47:Cx=99 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0133].[12488].[11368].[2021.04.05.01.22.04.744641].SRV1.INF:Main.py.on_data_ready.47:Cx=100 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0134].[12488].[11368].[2021.04.05.01.22.04.752646].SRV1.INF:Main.py.on_data_ready.47:Cx=101 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0135].[12488].[11368].[2021.04.05.01.22.04.760652].SRV1.INF:Main.py.on_data_ready.47:Cx=102 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0136].[12488].[11368].[2021.04.05.01.22.04.767657].SRV1.INF:Main.py.on_data_ready.47:Cx=103 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0137].[12488].[11368].[2021.04.05.01.22.04.775662].SRV1.INF:Main.py.on_data_ready.47:Cx=104 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0138].[12488].[11368].[2021.04.05.01.22.04.783667].SRV1.INF:Main.py.on_data_ready.47:Cx=105 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0139].[12488].[11368].[2021.04.05.01.22.04.791672].SRV1.INF:Main.py.on_data_ready.47:Cx=106 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0140].[12488].[11368].[2021.04.05.01.22.04.799677].SRV1.INF:Main.py.on_data_ready.47:Cx=107 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0141].[12488].[11368].[2021.04.05.01.22.04.807683].SRV1.INF:Main.py.on_data_ready.47:Cx=108 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B450>
[0142].[12488].[11368].[2021.04.05.01.22.04.815688].SRV1.INF:Main.py.on_data_ready.47:Cx=109 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0143].[12488].[11368].[2021.04.05.01.22.04.822693].SRV1.INF:Main.py.on_data_ready.47:Cx=110 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0144].[12488].[11368].[2021.04.05.01.22.04.830698].SRV1.INF:Main.py.on_data_ready.47:Cx=111 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0145].[12488].[11368].[2021.04.05.01.22.04.838703].SRV1.INF:Main.py.on_data_ready.47:Cx=112 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0146].[12488].[11368].[2021.04.05.01.22.04.846708].SRV1.INF:Main.py.on_data_ready.47:Cx=113 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0147].[12488].[11368].[2021.04.05.01.22.04.853713].SRV1.INF:Main.py.on_data_ready.47:Cx=114 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0148].[12488].[11368].[2021.04.05.01.22.04.861718].SRV1.INF:Main.py.on_data_ready.47:Cx=115 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0149].[12488].[11368].[2021.04.05.01.22.04.869724].SRV1.INF:Main.py.on_data_ready.47:Cx=116 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0150].[12488].[11368].[2021.04.05.01.22.04.876728].SRV1.INF:Main.py.on_data_ready.47:Cx=117 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0151].[12488].[11368].[2021.04.05.01.22.04.884734].SRV1.INF:Main.py.on_data_ready.47:Cx=118 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
[0152].[12488].[11368].[2021.04.05.01.22.04.892740].SRV1.INF:Main.py.on_data_ready.47:Cx=119 Deðer1 from<sip.voidptr object at 0x000000C8AAA8B4B0>
